6665,6738,7027,7179,5737,4424,1761,3341,4591,4973,9976,6431,1333,9470,1214,8460,8149,4330,3463,5245
4764,1582,1462,2710,2642,5860,3240,9592,6489,6169,9936,9855,6354,6347,4644,3966,4731,2547,3245,3071
7450,6488,9168,8896,7582,6968,1327,2379,6681,4148,4289,8419,1687,5003,1732,5295,5805,6235,5713,4208
1249,5490,4177,3910,6699,8681,2590,5673,6696,4602,6122,4584,4038,6638,4873,2608,8721,2845,8003,6813
3458,6798,2790,5430,8881,8811,8162,5336,8380,9887,9045,2732,2461,6687,4576,8246,3258,5126,3518,1386
8989,5868,1775,4909,7057,7217,2226,8679,6427,1563,7294,9188,9184,7059,1675,4476,8248,1588,9312,2697
3196,1877,1939,4689,9348,9802,6253,3611,5641,1515,3832,1831,5679,3332,2440,5955,3178,9255,2703,4174
3546,5922,4502,1265,6070,3574,5712,3214,9372,2900,3000,5275,7062,5035,4255,6630,8443,7958,5977,7311
9848,6881,3682,8136,6202,4496,2226,5453,8981,6283,4991,9141,8665,3733,2088,7636,5518,5359,2933,9778
7370,1984,3195,7738,2114,2504,5260,3289,4114,9653,3791,2713,6222,2090,5758,5509,9797,1222,9742,4183
9222,1460,2387,7942,6184,3665,9286,5323,4189,9049,2152,2597,6065,4279,5350,3844,4953,6421,6321,1602
6772,5025,5047,2824,9211,3382,8033,4870,8741,6249,8633,7717,2689,9445,1959,3807,3706,3923,8406,7705
9801,8840,5715,4970,5839,8858,9704,7074,4499,1621,2948,1868,3932,1021,3917,4051,4673,2849,7577,7719
8786,5290,6624,4620,2972,1323,7630,1679,8598,9531,7430,6172,7767,5586,5963,9264,5292,2564,2849,3600
8914,4423,2773,7337,8806,5533,4823,3996,2381,9813,3210,4472,2624,4627,5722,1883,6941,1217,9653,3095
1380,6623,7107,5791,3496,5388,4053,3340,2507,1431,6615,7902,7885,2940,7087,3602,9776,3652,6062,3152
8484,3911,2203,8290,6334,3060,8710,1621,1910,8456,1330,7171,6647,3348,6866,1693,2642,7211,9688,1705
9997,5581,7957,2077,6971,6960,4756,3312,8181,2475,1563,5274,2731,3112,7038,4851,1896,2457,9131,8316
9340,5307,3249,4405,1207,7856,2852,1305,4489,6128,8044,7590,6868,5177,7528,5657,3232,8634,2361,9354
4981,1003,3171,7037,3792,9120,2656,5386,8720,5910,3874,1366,5108,5807,9019,7247,3535,3106,9577,4393
